file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculate/1[int],false,220,2,10,0,10,13,10,37,12,0,1,10,8,5,0,2,0,0,0,0,1,0,2,0,0,0,15,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculateNegativeDivergence/1[int],false,359,4,8,1,7,2,6,9,2,3,1,6,1,1,0,0,0,0,0,2,3,0,1,0,0,0,20,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculateSlopeRel/1[int],false,388,3,8,4,4,1,4,5,1,2,1,4,0,0,0,0,0,1,0,2,2,2,0,0,0,0,19,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,"ConvergenceDivergenceIndicator/4[org.ta4j.core.Indicator<org.ta4j.core.Decimal>,org.ta4j.core.Indicator<org.ta4j.core.Decimal>,int,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator.ConvergenceDivergenceStrictType]",true,208,3,1,1,0,1,0,10,0,0,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,19,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculateNegativeConvergenceStrict/1[int],false,278,2,4,1,3,1,2,5,1,2,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,16,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculatePositiveDivergence/1[int],false,340,4,9,1,8,2,7,9,2,3,1,7,1,1,0,0,0,0,0,1,3,0,1,0,0,0,20,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculatePositiveDivergenceStrict/1[int],false,289,3,5,1,4,1,2,5,1,2,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,16,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculateSlopeAbs/1[int],false,377,3,5,0,5,1,5,5,1,2,1,5,0,0,0,0,0,1,0,2,2,2,0,0,0,0,19,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,calculateNegativeDivergenceStrict/1[int],false,300,3,5,1,4,1,2,5,1,2,1,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,16,2,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\ConvergenceDivergenceIndicator.java,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator,"ConvergenceDivergenceIndicator/4[org.ta4j.core.Indicator<org.ta4j.core.Decimal>,org.ta4j.core.Indicator<org.ta4j.core.Decimal>,int,org.ta4j.core.indicators.helpers.ConvergenceDivergenceIndicator.ConvergenceDivergenceType]",true,188,3,3,1,2,1,2,10,0,0,4,2,0,0,0,0,0,0,0,2,7,0,0,0,0,0,18,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\LowerShadowIndicator.java,org.ta4j.core.indicators.candles.LowerShadowIndicator,LowerShadowIndicator/1[org.ta4j.core.TimeSeries],true,46,1,2,2,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\candles\LowerShadowIndicator.java,org.ta4j.core.indicators.candles.LowerShadowIndicator,calculate/1[int],false,52,3,6,0,6,2,6,11,2,3,1,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,8,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\DifferenceIndicator.java,org.ta4j.core.indicators.helpers.DifferenceIndicator,calculate/1[int],false,54,2,2,0,2,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\main\java\org\ta4j\core\indicators\helpers\DifferenceIndicator.java,org.ta4j.core.indicators.helpers.DifferenceIndicator,"DifferenceIndicator/2[org.ta4j.core.Indicator<org.ta4j.core.Decimal>,org.ta4j.core.Indicator<org.ta4j.core.Decimal>]",true,46,2,4,4,0,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,1,0,true
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\helpers\GainIndicatorTest.java,org.ta4j.core.indicators.helpers.GainIndicatorTest,gainUsingClosePrice/0,false,41,5,4,0,4,1,2,16,0,1,0,2,0,0,0,0,0,0,0,26,1,0,0,0,0,0,10,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\helpers\GainIndicatorTest.java,org.ta4j.core.indicators.helpers.GainIndicatorTest,setUp/0,false,36,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,6,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\TrailingStopLossIndicatorTest.java,org.ta4j.core.indicators.TrailingStopLossIndicatorTest,withoutInitialLimitUsingClosePrice/0,false,50,6,5,0,5,1,3,12,0,2,0,3,0,0,0,0,0,0,0,17,2,0,0,0,0,0,16,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\TrailingStopLossIndicatorTest.java,org.ta4j.core.indicators.TrailingStopLossIndicatorTest,setUp/0,false,39,2,1,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,20,1,0,0,0,0,0,6,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\indicators\TrailingStopLossIndicatorTest.java,org.ta4j.core.indicators.TrailingStopLossIndicatorTest,withInitialLimitUsingClosePrice/0,false,66,6,5,0,5,1,3,13,0,2,0,3,0,0,0,0,0,0,0,20,2,0,0,0,0,0,16,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,MockTimeSeries/1[java.time.ZonedDateTime[]],true,50,1,1,0,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,MockTimeSeries/1[double[]],true,38,2,102,101,1,1,1,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,MockTimeSeries/1[java.util.List<org.ta4j.core.Bar>],true,42,1,45,45,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,doublesToBars/1[double[]],false,58,3,2,1,1,2,3,7,1,2,1,3,0,0,1,0,0,0,0,1,2,0,1,0,0,0,8,10,0,false
C:\Users\Susmi\Desktop\4-1\TermPaperTool\ta4j\ta4j\ta4j-core\src\test\java\org\ta4j\core\mocks\MockTimeSeries.java,org.ta4j.core.mocks.MockTimeSeries,"doublesAndTimesToBars/2[double[],java.time.ZonedDateTime[]]",false,66,3,2,1,1,3,1,10,1,2,2,1,0,0,1,1,0,0,0,1,2,0,1,0,0,0,13,10,0,false
