,0
cbo,5.436274509803922
cboModified,9.833333333333334
fanin,4.397058823529412
fanout,5.436274509803922
wmc,4.990196078431373
dit,1.2107843137254901
noc,0.1568627450980392
rfc,5.931372549019608
lcom,2.2549019607843137
lcom*,0.15752204704433498
tcc,-0.00546448087431694
lcc,-0.00546448087431694
totalMethodsQty,3.7107843137254903
staticMethodsQty,0.1323529411764706
publicMethodsQty,3.4019607843137254
privateMethodsQty,0.10784313725490197
protectedMethodsQty,0.058823529411764705
defaultMethodsQty,0.14215686274509803
visibleMethodsQty,3.6029411764705883
abstractMethodsQty,0.00980392156862745
finalMethodsQty,0.0
synchronizedMethodsQty,0.0
totalFieldsQty,1.6274509803921569
staticFieldsQty,0.0196078431372549
publicFieldsQty,0.014705882352941176
privateFieldsQty,1.5588235294117647
protectedFieldsQty,0.0
defaultFieldsQty,0.05392156862745098
finalFieldsQty,0.38235294117647056
synchronizedFieldsQty,0.0
nosi,0.6029411764705882
loc,28.965686274509803
returnQty,1.6225490196078431
loopQty,0.3382352941176471
comparisonsQty,0.39215686274509803
tryCatchQty,0.05392156862745098
parenthesizedExpsQty,1.2352941176470589
stringLiteralsQty,0.9264705882352942
numbersQty,23.79901960784314
assignmentsQty,7.328431372549019
mathOperationsQty,4.411764705882353
variablesQty,6.4411764705882355
maxNestedBlocksQty,0.5392156862745098
anonymousClassesQty,0.00980392156862745
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,28.65686274509804
modifiers,16.03921568627451
logStatementsQty,0.0
