,0
cbo,6.076923076923077
cboModified,11.04102564102564
fanin,4.964102564102564
fanout,6.076923076923077
wmc,5.138461538461539
dit,1.6871794871794872
noc,0.1282051282051282
rfc,6.553846153846154
lcom,3.235897435897436
lcom*,0.14758265835897436
tcc,0.0
lcc,0.0
totalMethodsQty,3.58974358974359
staticMethodsQty,0.2717948717948718
publicMethodsQty,3.0358974358974358
privateMethodsQty,0.2153846153846154
protectedMethodsQty,0.28205128205128205
defaultMethodsQty,0.05641025641025641
visibleMethodsQty,3.3743589743589744
abstractMethodsQty,0.010256410256410256
finalMethodsQty,0.0
synchronizedMethodsQty,0.0
totalFieldsQty,1.5538461538461539
staticFieldsQty,0.10256410256410256
publicFieldsQty,0.06153846153846154
privateFieldsQty,1.4256410256410257
protectedFieldsQty,0.010256410256410256
defaultFieldsQty,0.05641025641025641
finalFieldsQty,0.4461538461538462
synchronizedFieldsQty,0.0
nosi,2.943589743589744
loc,27.68717948717949
returnQty,1.6256410256410256
loopQty,0.3487179487179487
comparisonsQty,0.5487179487179488
tryCatchQty,0.03076923076923077
parenthesizedExpsQty,0.8923076923076924
stringLiteralsQty,1.4666666666666666
numbersQty,18.317948717948717
assignmentsQty,6.3538461538461535
mathOperationsQty,3.1487179487179486
variablesQty,5.723076923076923
maxNestedBlocksQty,0.5384615384615384
anonymousClassesQty,0.010256410256410256
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,28.3025641025641
modifiers,22.066666666666666
logStatementsQty,0.020512820512820513
