,0
cbo,6.497584541062802
cboModified,11.8743961352657
fanin,5.3768115942028984
fanout,6.497584541062802
wmc,4.971014492753623
dit,1.6763285024154588
noc,0.15942028985507245
rfc,7.169082125603865
lcom,4.009661835748792
lcom*,0.15532863444444445
tcc,0.0
lcc,0.0
totalMethodsQty,3.714975845410628
staticMethodsQty,0.22705314009661837
publicMethodsQty,3.246376811594203
privateMethodsQty,0.14009661835748793
protectedMethodsQty,0.27053140096618356
defaultMethodsQty,0.057971014492753624
visibleMethodsQty,3.57487922705314
abstractMethodsQty,0.00966183574879227
finalMethodsQty,0.004830917874396135
synchronizedMethodsQty,0.0
totalFieldsQty,1.7198067632850242
staticFieldsQty,0.07729468599033816
publicFieldsQty,0.043478260869565216
privateFieldsQty,1.6183574879227054
protectedFieldsQty,0.004830917874396135
defaultFieldsQty,0.05314009661835749
finalFieldsQty,0.45893719806763283
synchronizedFieldsQty,0.0
nosi,2.753623188405797
loc,28.792270531400966
returnQty,1.5603864734299517
loopQty,0.3671497584541063
comparisonsQty,0.3285024154589372
tryCatchQty,0.028985507246376812
parenthesizedExpsQty,0.7681159420289855
stringLiteralsQty,1.3140096618357489
numbersQty,19.32367149758454
assignmentsQty,7.188405797101449
mathOperationsQty,2.9420289855072466
variablesQty,6.478260869565218
maxNestedBlocksQty,0.5314009661835749
anonymousClassesQty,0.00966183574879227
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,30.95169082125604
modifiers,20.768115942028984
logStatementsQty,0.014492753623188406
