,0
cbo,5.456310679611651
cboModified,9.854368932038835
fanin,4.398058252427185
fanout,5.456310679611651
wmc,4.995145631067961
dit,1.2135922330097086
noc,0.16019417475728157
rfc,5.961165048543689
lcom,2.2475728155339807
lcom*,0.15653044029268293
tcc,-0.005405405405405406
lcc,-0.005405405405405406
totalMethodsQty,3.7281553398058254
staticMethodsQty,0.13106796116504854
publicMethodsQty,3.4223300970873787
privateMethodsQty,0.10679611650485436
protectedMethodsQty,0.05825242718446602
defaultMethodsQty,0.1407766990291262
visibleMethodsQty,3.621359223300971
abstractMethodsQty,0.009708737864077669
finalMethodsQty,0.0
synchronizedMethodsQty,0.0
totalFieldsQty,1.6213592233009708
staticFieldsQty,0.019417475728155338
publicFieldsQty,0.014563106796116505
privateFieldsQty,1.5533980582524272
protectedFieldsQty,0.0
defaultFieldsQty,0.05339805825242718
finalFieldsQty,0.3786407766990291
synchronizedFieldsQty,0.0
nosi,0.5970873786407767
loc,29.315533980582526
returnQty,1.6116504854368932
loopQty,0.33495145631067963
comparisonsQty,0.3883495145631068
tryCatchQty,0.05339805825242718
parenthesizedExpsQty,1.2233009708737863
stringLiteralsQty,0.9174757281553398
numbersQty,25.07281553398058
assignmentsQty,7.398058252427185
mathOperationsQty,4.368932038834951
variablesQty,6.475728155339806
maxNestedBlocksQty,0.5339805825242718
anonymousClassesQty,0.009708737864077669
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,28.660194174757283
modifiers,15.893203883495145
logStatementsQty,0.0
