,0
cbo,6.271844660194175
cboModified,11.422330097087379
fanin,5.150485436893204
fanout,6.271844660194175
wmc,5.067961165048544
dit,1.4223300970873787
noc,0.16019417475728157
rfc,7.014563106796117
lcom,4.106796116504855
lcom*,0.1821344373300971
tcc,0.0
lcc,0.0
totalMethodsQty,3.8106796116504853
staticMethodsQty,0.22815533980582525
publicMethodsQty,3.3446601941747574
privateMethodsQty,0.1407766990291262
protectedMethodsQty,0.27184466019417475
defaultMethodsQty,0.05339805825242718
visibleMethodsQty,3.6699029126213594
abstractMethodsQty,0.009708737864077669
finalMethodsQty,0.0
synchronizedMethodsQty,0.0
totalFieldsQty,1.7233009708737863
staticFieldsQty,0.07766990291262135
publicFieldsQty,0.043689320388349516
privateFieldsQty,1.6213592233009708
protectedFieldsQty,0.0048543689320388345
defaultFieldsQty,0.05339805825242718
finalFieldsQty,0.46116504854368934
synchronizedFieldsQty,0.0
nosi,2.7718446601941746
loc,28.902912621359224
returnQty,1.6407766990291262
loopQty,0.36893203883495146
comparisonsQty,0.32524271844660196
tryCatchQty,0.02912621359223301
parenthesizedExpsQty,0.7718446601941747
stringLiteralsQty,1.3155339805825244
numbersQty,19.42233009708738
assignmentsQty,7.242718446601942
mathOperationsQty,2.9563106796116503
variablesQty,6.504854368932039
maxNestedBlocksQty,0.529126213592233
anonymousClassesQty,0.009708737864077669
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,30.902912621359224
modifiers,15.893203883495145
logStatementsQty,0.014563106796116505
