,0
cbo,5.640394088669951
cboModified,10.172413793103448
fanin,4.532019704433497
fanout,5.640394088669951
wmc,5.068965517241379
dit,1.2167487684729064
noc,0.1625615763546798
rfc,6.103448275862069
lcom,2.2758620689655173
lcom*,0.15778941792079207
tcc,-0.005494505494505495
lcc,-0.005494505494505495
totalMethodsQty,3.7586206896551726
staticMethodsQty,0.1330049261083744
publicMethodsQty,3.4482758620689653
privateMethodsQty,0.10837438423645321
protectedMethodsQty,0.059113300492610835
defaultMethodsQty,0.14285714285714285
visibleMethodsQty,3.6502463054187193
abstractMethodsQty,0.009852216748768473
finalMethodsQty,0.0
synchronizedMethodsQty,0.0
totalFieldsQty,1.6305418719211822
staticFieldsQty,0.019704433497536946
publicFieldsQty,0.014778325123152709
privateFieldsQty,1.561576354679803
protectedFieldsQty,0.0
defaultFieldsQty,0.054187192118226604
finalFieldsQty,0.3645320197044335
synchronizedFieldsQty,0.0
nosi,0.6059113300492611
loc,29.778325123152708
returnQty,1.645320197044335
loopQty,0.3399014778325123
comparisonsQty,0.41379310344827586
tryCatchQty,0.054187192118226604
parenthesizedExpsQty,1.2413793103448276
stringLiteralsQty,0.8226600985221675
numbersQty,25.536945812807883
assignmentsQty,7.586206896551724
mathOperationsQty,4.4236453201970445
variablesQty,6.630541871921182
maxNestedBlocksQty,0.5369458128078818
anonymousClassesQty,0.009852216748768473
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,28.950738916256157
modifiers,16.113300492610836
logStatementsQty,0.0
