,0
cbo,5.674757281553398
cboModified,10.223300970873787
fanin,4.548543689320389
fanout,5.674757281553398
wmc,5.097087378640777
dit,1.2087378640776698
noc,0.1553398058252427
rfc,6.165048543689321
lcom,2.1893203883495147
lcom*,0.15981054092682925
tcc,-0.005405405405405406
lcc,-0.005405405405405406
totalMethodsQty,3.8058252427184467
staticMethodsQty,0.11165048543689321
publicMethodsQty,3.4854368932038833
privateMethodsQty,0.08737864077669903
protectedMethodsQty,0.05825242718446602
defaultMethodsQty,0.17475728155339806
visibleMethodsQty,3.7184466019417477
abstractMethodsQty,0.009708737864077669
finalMethodsQty,0.0
synchronizedMethodsQty,0.0
totalFieldsQty,1.6262135922330097
staticFieldsQty,0.024271844660194174
publicFieldsQty,0.014563106796116505
privateFieldsQty,1.558252427184466
protectedFieldsQty,0.0
defaultFieldsQty,0.05339805825242718
finalFieldsQty,0.3592233009708738
synchronizedFieldsQty,0.0
nosi,0.587378640776699
loc,29.5873786407767
returnQty,1.6650485436893203
loopQty,0.33495145631067963
comparisonsQty,0.4077669902912621
tryCatchQty,0.05339805825242718
parenthesizedExpsQty,1.2233009708737863
stringLiteralsQty,0.8349514563106796
numbersQty,25.20873786407767
assignmentsQty,7.5
mathOperationsQty,4.407766990291262
variablesQty,6.538834951456311
maxNestedBlocksQty,0.529126213592233
anonymousClassesQty,0.009708737864077669
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,28.839805825242717
modifiers,15.893203883495145
logStatementsQty,0.0
