,0
cbo,5.32994923857868
cboModified,9.685279187817258
fanin,4.355329949238579
fanout,5.32994923857868
wmc,4.680203045685279
dit,1.2131979695431472
noc,0.15736040609137056
rfc,5.710659898477157
lcom,2.2741116751269037
lcom*,0.15566433500000001
tcc,-0.005681818181818182
lcc,-0.005681818181818182
totalMethodsQty,3.548223350253807
staticMethodsQty,0.1319796954314721
publicMethodsQty,3.299492385786802
privateMethodsQty,0.08629441624365482
protectedMethodsQty,0.06091370558375635
defaultMethodsQty,0.10152284263959391
visibleMethodsQty,3.4619289340101522
abstractMethodsQty,0.01015228426395939
finalMethodsQty,0.0
synchronizedMethodsQty,0.0
totalFieldsQty,1.6091370558375635
staticFieldsQty,0.02030456852791878
publicFieldsQty,0.015228426395939087
privateFieldsQty,1.5380710659898478
protectedFieldsQty,0.0
defaultFieldsQty,0.05583756345177665
finalFieldsQty,0.39593908629441626
synchronizedFieldsQty,0.0
nosi,0.6040609137055838
loc,27.106598984771573
returnQty,1.5583756345177664
loopQty,0.3350253807106599
comparisonsQty,0.3401015228426396
tryCatchQty,0.025380710659898477
parenthesizedExpsQty,1.2233502538071066
stringLiteralsQty,0.868020304568528
numbersQty,20.771573604060915
assignmentsQty,6.939086294416244
mathOperationsQty,4.50761421319797
variablesQty,6.253807106598985
maxNestedBlocksQty,0.5380710659898477
anonymousClassesQty,0.01015228426395939
innerClassesQty,0.0
lambdasQty,0.0
uniqueWordsQty,28.071065989847718
modifiers,16.573604060913706
logStatementsQty,0.0
