file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/trading/rules/WaitForRuleTest.java,org.ta4j.core.trading.rules.WaitForRuleTest,class,5,5,0,5,3,1,0,5,0,0.16666667,0.0,0.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,47,0,0,0,0,0,0,36,3,0,2,0,0,0,0,21,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/CachedIndicator.java,org.ta4j.core.indicators.CachedIndicator,class,5,89,84,5,16,2,0,19,9,0.5833334,0.0,0.0,6,0,3,2,1,0,4,1,0,0,2,0,0,1,1,0,1,0,5,73,2,1,4,0,1,2,11,17,6,11,3,0,0,0,75,1025,1
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/analysis/criteria/AbstractAnalysisCriterionTest.java,org.ta4j.core.analysis.criteria.AbstractAnalysisCriterionTest,class,12,12,0,12,4,1,0,4,0,0.41666666,0.0,0.0,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,32,0,0,0,0,0,3,10,12,0,12,0,0,0,0,43,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/candles/UpperShadowIndicatorTest.java,org.ta4j.core.indicators.candles.UpperShadowIndicatorTest,class,7,7,0,7,2,1,0,3,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,30,3,0,3,0,0,0,0,18,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/CCIIndicatorTest.java,org.ta4j.core.indicators.CCIIndicatorTest,class,7,7,0,7,4,1,0,3,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,23,0,2,0,0,0,0,54,6,1,6,1,0,0,0,28,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/statistics/StandardErrorIndicatorTest.java,org.ta4j.core.indicators.statistics.StandardErrorIndicatorTest,class,6,6,0,6,3,1,0,2,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,42,3,0,3,0,0,0,0,25,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/trading/rules/XorRuleTest.java,org.ta4j.core.trading.rules.XorRuleTest,class,4,4,0,4,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,8,2,0,2,0,0,0,0,15,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/candles/UpperShadowIndicator.java,org.ta4j.core.indicators.candles.UpperShadowIndicator,class,4,5,1,4,3,3,0,6,0,0.0,0.0,0.0,2,0,1,0,1,0,2,0,0,0,1,0,0,1,0,0,1,0,0,18,2,0,0,0,0,0,0,4,0,4,1,0,0,0,32,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/indicators/volume/ChaikinMoneyFlowIndicatorTest.java,org.ta4j.core.indicators.volume.ChaikinMoneyFlowIndicatorTest,class,6,6,0,6,1,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0,0,150,27,4,0,4,0,0,0,0,20,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/FisherIndicator.java,org.ta4j.core.indicators.FisherIndicator$Anonymous1,anonymous,2,2,0,2,2,1,0,6,0,1.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,15,2,0,0,0,0,0,3,7,1,7,1,0,0,0,28,-1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/pivotpoints/FibonacciReversalIndicator.java,org.ta4j.core.indicators.pivotpoints.FibonacciReversalIndicator,class,6,6,0,6,6,3,0,14,0,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,3,0,0,38,3,1,1,0,2,0,1,9,0,7,1,0,2,0,49,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/test/java/org/ta4j/core/trading/rules/AndRuleTest.java,org.ta4j.core.trading.rules.AndRuleTest,class,4,4,0,4,2,1,0,4,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,18,0,0,0,0,0,0,8,2,0,2,0,0,0,0,15,1,0
/mnt/c/Users/User/Downloads/ta4j/ta4j/ta4j-core/src/main/java/org/ta4j/core/indicators/volume/VWAPIndicator.java,org.ta4j.core.indicators.volume.VWAPIndicator,class,6,7,1,6,5,2,0,7,0,0.22222222,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,0,0,3,0,0,3,0,1,28,3,1,0,0,0,1,3,10,3,8,1,0,0,0,42,1,0
